# timestamps [seconds],pts
38700.390068,0
38700.422014,2093
38700.457981,4450
38700.490087,6554
38700.522074,8651
38700.558023,11006
38700.590126,13110
38700.622038,15202
38700.658033,17561
38700.690081,19661
38700.725978,22013
38700.757957,24109
38700.790162,26220
38700.825996,28568
38700.858046,30668
38700.890127,32771
38700.926044,35125
38700.957957,37216
38700.993960,39576
38701.026001,41675
38701.058009,43773
38701.093985,46131
38701.126051,48232
38701.162019,50589
38701.194027,52687
38701.226010,54783
38701.261998,57141
38701.294008,59239
38701.326007,61336
38701.361984,63694
38701.393992,65792
38701.430079,68157
38701.462076,70254
38701.493998,72346
38701.529987,74704
38701.562047,76805
38701.594068,78904
38701.630054,81262
38701.662025,83357
38701.697935,85711
38701.730074,87817
38701.762020,89910
38701.797983,92267
38701.830073,94370
38701.861958,96460
38701.897998,98822
38701.929975,100917
38701.965956,103275
38701.998013,105376
38702.030047,107476
38702.066013,109833
38702.098001,111929
38702.130050,114029
38702.166109,116392
38702.198019,118484
38702.234015,120843
38702.266037,122941
38702.298032,125038
38702.333996,127395
38702.366082,129498
38702.398003,131590
38702.434043,133951
38702.465998,136046
38702.502031,138407
38702.533973,140500
38702.566024,142601
38702.602028,144960
38702.634018,147057
38702.666084,149158
38702.701991,151511
38702.733942,153605
38702.770009,155969
38702.802080,158071
38702.833991,160162
38702.870038,162524
38702.902006,164619
38702.937993,166978
38702.970057,169079
38703.002083,171178
38703.038004,173532
38703.069987,175628
38703.102124,177734
38703.137972,180083
38703.170153,182192
38703.205995,184541
38703.237993,186638
38703.269971,188734
38703.306006,191095
38703.337989,193192
38703.370055,195293
38703.406078,197654
38703.437995,199745
38703.473998,202105
38703.505973,204200
38703.537992,206299
38703.574012,208659
38703.606010,210756
38703.638009,212853
38703.674016,215213
38703.705985,217308
38703.742066,219673
38703.773991,221765
38703.805946,223859
38703.841976,226220
38703.873962,228316
38703.905945,230412
38703.941924,232770
38703.973980,234871
38704.010050,237235
38704.041971,239327
38704.073930,241421
38704.110976,243849
38704.141983,245881
38704.173951,247976
38704.209948,250335
38704.241966,252434
38704.277909,254789
38704.310071,256897
38704.341958,258987
38704.377919,261343
38704.409991,263445
38704.445904,265799
38704.477887,267895
38704.510020,270001
38704.545911,272353
38704.578061,274460
38704.610041,276555
38704.645978,278911
38704.677961,281007
38704.713949,283365
38704.745932,285461
38704.777945,287559
38704.813999,289922
38704.845997,292019
38704.878044,294119
38704.913970,296473
38704.945959,298570
38704.981990,300931
38705.013975,303027
38705.046073,305131
38705.082028,307487
38705.114011,309583
38705.146284,311698
38705.182108,314046
38705.213967,316134
38705.250029,318497
38705.282001,320592
38705.314031,322691
38705.350176,325060
38705.382096,327152
38705.413977,329241
38705.450023,331604
38705.482035,333702
38705.518001,336059
38705.550154,338166
38705.581974,340251
38705.617989,342611
38705.649965,344707
38705.682001,346806
38705.717984,349164
